37.0000	35.3213
37.7648	38.2786
38.7638	30.5403
39.7191	43.0519
40.6499	35.8353
39.9334	32.8597
36.8969	30.7133
41.1828	41.8194
37.8486	27.8450
39.6484	27.8826
40.0567	30.0665
38.8848	40.4939
38.4010	42.1076
40.7350	31.6069
37.7269	30.2889
40.1826	29.0665
40.1553	26.4142
40.6074	33.6215
40.5506	34.9556
37.7765	29.0864
37.9194	40.2290
41.6772	26.5559
38.6810	39.2264
39.7505	39.4925
39.9043	41.2679
39.7667	30.5256
37.0662	37.3833
40.9128	38.3895
40.4600	39.4783
37.5744	43.7408
36.2024	36.1605
37.7648	30.5567
36.8121	34.6415
41.0082	28.9784
38.4192	27.1287
40.6013	43.0950
41.3887	33.7827
38.7312	35.4787
41.7351	27.2253
39.1457	34.1609
40.8533	29.8815
37.8746	32.4932
39.4167	29.9857
38.3552	38.3095
38.6191	27.4289
37.5760	36.9371
37.3122	40.7350
37.2153	28.3636
38.9462	41.7539
38.6248	34.7231
37.9667	34.6833
40.9861	37.8794
41.0201	40.5234
40.7569	30.4033
41.2867	36.33
37.9290	41.9416
42.0268	35.1623
39.7477	37.0179
40.9780	27.5119
40.3167	36.5500
41.0015	39.7178
39.3070	39.4388
37.1671	38.7955
38.6810	29.4082
38.4946	43.3833
39.8181	34.8147
41.4564	31.7980
38.3687	34.0366
40.2587	40.2284
37.1810	33.2150
39.8468	33.5153
37.8812	41.1351
37.4187	42.4918
41.5811	32.4610
41.1105	42.7022
39.9237	44.0452
40.6553	29.2769
41.2061	32.6200
36.7184	37.1155
37.0746	36.2464
40.8438	31.1565
